DBID,2SD1K-1,2SD1K-2,2SD1K-3,2SD7K-1,2SD7K-2,2SD7K-3,0.5SD1K-1,0.5SD1K-2,0.5SD1K-3,0.5SD7K-1,0.5SD7K-2,0.5SD7K-3
S000029717,563 ,481 ,513 ,605 ,567 ,549 ,3762 ,6646 ,19622 ,929 ,2447 ,818 
S000029707,563 ,481 ,513 ,605 ,567 ,549 ,3762 ,6646 ,19443 ,929 ,2447 ,818 
S000029718,0 ,1 ,0 ,1 ,1 ,0 ,0 ,1 ,4 ,1 ,1 ,0 
S000029713,0 ,1 ,0 ,1 ,1 ,0 ,0 ,1 ,4 ,1 ,1 ,0 
S000119380,65 ,56 ,66 ,44 ,40 ,35 ,9 ,5 ,8 ,66 ,12 ,41 
S000132612,297 ,262 ,340 ,337 ,363 ,361 ,100 ,83 ,142 ,365 ,351 ,375 
S000178119,504 ,433 ,559 ,5758 ,5672 ,5204 ,2297 ,1785 ,1923 ,2260 ,6131 ,3346 
S000029715,48 ,33 ,24 ,72 ,84 ,49 ,173 ,179 ,417 ,103 ,318 ,101 
S000029709,48 ,33 ,24 ,72 ,84 ,49 ,173 ,179 ,417 ,103 ,318 ,101 
S000029716,16 ,8 ,7 ,24 ,21 ,14 ,82 ,71 ,164 ,14 ,110 ,17 
S000029712,16 ,8 ,7 ,24 ,21 ,14 ,82 ,71 ,164 ,14 ,110 ,17 
S000006478,230 ,167 ,122 ,145 ,148 ,143 ,240 ,340 ,470 ,280 ,194 ,277 
S000007436,23 ,17 ,13 ,16 ,28 ,18 ,19 ,35 ,67 ,21 ,21 ,14 
S000132614,86 ,68 ,78 ,72 ,66 ,73 ,7 ,11 ,44 ,80 ,70 ,55 
S000007257,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1 ,0 ,0 ,0 
S000007258,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007287,18 ,15 ,9 ,6 ,2 ,6 ,20 ,27 ,125 ,10 ,23 ,17 
S000007259,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
S000007260,15 ,14 ,20 ,6 ,6 ,3 ,9 ,22 ,35 ,1 ,6 ,5 
