"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000029717",3167.77256776416,-4.15970389695082,0.530713970115503,-7.83793932548171,4.58000210669279e-15,1.98369606396849e-13,"S000029717","S000029717","ETS1-1"
"S000029707",3152.33400645373,-4.15089599633581,0.529157887033548,-7.84434305535098,4.3522582836548e-15,1.89078503490207e-13,"S000029707","S000029707","ETS1-2"
"S000119380",35.759204341359,2.42168193751814,0.574158890680847,4.21779053990868,2.46707828579013e-05,0.000171674537189866,"S000119380","S000119380","HRA1"
"S000132612",276.71682008677,1.68217305206412,0.227048843040976,7.4088598274008,1.2738986248771e-13,4.51672022662585e-12,"S000132612","S000132612","ICR1"
"S000178119",3025.55250290627,1.45591854455168,0.332813656566271,4.37457572977259,1.2166888059523e-05,9.14307734147012e-05,"S000178119","S000178119","IRT1"
"S000029715",136.064072812925,-1.93066484492569,0.539378985673467,-3.57942169829821,0.000344355406564484,0.00171195541774823,"S000029715","S000029715","ITS1-1"
"S000029709",136.064072812925,-1.93066484492569,0.539378985673467,-3.57942169829821,0.000344355406564484,0.00171195541774823,"S000029709","S000029709","ITS1-2"
"S000029716",46.674871461895,-2.44377036958562,0.748566119470755,-3.2646018915649,0.00109618028517231,0.00467134908049128,"S000029716","S000029716","ITS2-1"
"S000029712",46.674871461895,-2.44377036958562,0.748566119470755,-3.2646018915649,0.00109618028517231,0.00467134908049128,"S000029712","S000029712","ITS2-2"
"S000006478",227.474775593794,-1.28889177094738,0.310612690927839,-4.14951419755999,3.33181623436935e-05,0.000223052222191293,"S000006478","S000006478","LSR1"
"S000132614",57.8102529712512,1.7300094760334,0.527392919294002,3.28030470782447,0.00103695026858629,0.00445614257032589,"S000132614","S000132614","PWR1"
"S000007287",23.3524213335482,-3.66226274007268,0.820974766180846,-4.46087126052538,8.16271170893539e-06,6.47086181119321e-05,"S000007287","S000007287","15S_RRNA"
"S000007260",11.538233346054,-2.15192838060227,0.764227121845819,-2.81582309641769,0.00486524484016832,0.0167273011925607,"S000007260","S000007260","COX1"
"S000007261",39.5887650716159,-1.71967150990627,0.545283285006406,-3.15372129898694,0.00161202954583185,0.00652712133104097,"S000007261","S000007261","AI1"
"S000007262",23.7633256472654,-1.92608278106237,0.623244042635242,-3.09041506906087,0.0019987695892478,0.00784846531294473,"S000007262","S000007262","AI2"
"S000007268",16.3680475496666,-4.90314250305041,0.92682747474512,-5.29024293803848,1.22153997180187e-07,1.55195296150792e-06,"S000007268","S000007268","ATP6"
"S000007270",26.2923291574316,-2.83541366132167,0.542197722425597,-5.22948279575402,1.69984918607456e-07,2.06773995034585e-06,"S000007270","S000007270","COB"
"S000007273",73.645069656284,-3.61754532767212,0.546527410590345,-6.61914710510958,3.6127719940477e-11,9.01175394605998e-10,"S000007273","S000007273","BI4"
"S000007288",78.3016420083531,-2.33269631647562,0.559877070077847,-4.16644374478719,3.09388195146761e-05,0.000209975568529566,"S000007288","S000007288","21S_RRNA"
"S000006482",14853.7958772077,-1.08967553546717,0.245042881341302,-4.44687692824442,8.71277211215342e-06,6.85369575118375e-05,"S000006482","S000006482","RDN18-1"
"S000006483",14714.4186152382,-1.07534938606895,0.244699032490626,-4.39457963982815,1.10987310070246e-05,8.46872394199667e-05,"S000006483","S000006483","RDN18-2"
"S000006484",35278.0380104226,-1.37036079193401,0.259192688113507,-5.28703491563733,1.24314918340251e-07,1.57102840657578e-06,"S000006484","S000006484","RDN25-1"
"S000006485",35524.9465178083,-1.36823800703359,0.259324584432136,-5.27616002944623,1.31918899232321e-07,1.66124830548684e-06,"S000006485","S000006485","RDN25-2"
"S000006490",17.4615120640624,-3.66240848511249,1.15637635816503,-3.1671423055761,0.00153944965262384,0.00626697632724369,"S000006490","S000006490","RPR1"
"S000028470",39727.6250699675,-1.98818146201057,0.324939443675409,-6.11862148689039,9.43883086405182e-10,1.79861165567415e-08,"S000028470","S000028470","RUF5-1"
