"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sgd","systematic","genename"
"S000178119",3185.39671688781,3.81367749421896,0.399376441546931,9.54907975905436,1.3085341349246e-21,7.87868402638103e-20,"S000178119","S000178119","IRT1"
"S000007273",85.3955642534725,2.20196053113577,0.693586718790443,3.17474437079159,0.00149968553842044,0.00661025375316945,"S000007273","S000007273","BI4"
"S000144910",253.36322152133,1.12098096935076,0.183146355030889,6.12068402432411,9.31745062348903e-10,1.61207960356401e-08,"S000144910","S000144910","RME3"
"S000002136",2783.07517104988,1.06396572115869,0.235238178609524,4.52292960032132,6.09895302766066e-06,5.20876541553827e-05,"S000002136","S000002136",NA
"S000000004",22569.2702888114,1.07084285024992,0.209025275694924,5.12303044064795,3.00663786716587e-07,3.32164524737719e-06,"S000000004","S000000004","SSA1"
"S000000005",195.791054525283,-1.31126267013479,0.26305300982209,-4.9847848957198,6.20307835380108e-07,6.45055868190609e-06,"S000000005","S000000005","ERP2"
"S000000031",103.493972952279,-1.14420733354512,0.25187622392647,-4.54273657000331,5.55286254151875e-06,4.8037047934604e-05,"S000000031","S000000031","POP5"
"S000002134",3215.42033076092,1.04626216459425,0.433169570622791,2.41536394878795,0.0157194938378069,0.045613046938523,"S000002134","S000002134","FUN19"
"S000000032",49.5329133198097,-1.56452776271788,0.35052850676871,-4.46333959294845,8.06920114842636e-06,6.71058841362916e-05,"S000000032","S000000032","MTW1"
"S000000035",173.457912245501,2.45573137474032,0.290543063811075,8.45221132636352,2.85836623383895e-17,1.11333920854457e-15,"S000000035","S000000035",NA
"S000000038",359.896498295309,-2.21139037426534,0.334836437492851,-6.60438986516381,3.99157821808833e-11,8.11935555780737e-10,"S000000038","S000000038","CLN3"
"S000000048",1181.73193465428,1.01675961611013,0.154029567356997,6.60106779209194,4.08206821133025e-11,8.27546555569677e-10,"S000000048","S000000048","OAF1"
"S000000049",3276.28530690301,1.05706237205259,0.299091357289197,3.53424579577705,0.000408940591329435,0.00217511598974782,"S000000049","S000000049","FLC2"
"S000000056",2661.77966838186,1.03304417354909,0.417783300811063,2.4726794286502,0.0134104375862219,0.0399328608836013,"S000000056","S000000056","BDH1"
"S000000057",8105.76077857224,3.17923661785769,0.429424235894495,7.40348669710108,1.32654456380989e-13,3.71494177613922e-12,"S000000057","S000000057","BDH2"
"S000000066",118.602476888505,-1.9232030281286,0.250025949446534,-7.69201369852156,1.4483710642283e-14,4.42672191762365e-13,"S000000066","S000000066","SEN34"
"S000000070",717.111741547593,-1.47026222055785,0.198885205790159,-7.39251677728658,1.44075313681543e-13,3.97925442053472e-12,"S000000070","S000000070","ADE1"
"S000000071",63.685897933386,-2.00496928493937,0.236158255500307,-8.48993942935341,2.06744825367631e-17,8.18954337854281e-16,"S000000071","S000000071","KIN3"
"S000000076",245.074087147375,2.39186869723048,0.307451055177724,7.77967307950154,7.27122034582784e-15,2.29214752367693e-13,"S000000076","S000000076",NA
"S000001821",16.4711797997401,2.07465365615675,0.388020905007178,5.34675742823283,8.95438926391891e-08,1.0868779403356e-06,"S000001821","S000001821",NA
"S000000087",22.185716735321,1.46920605530397,0.409735021466254,3.58574683229751,0.000336114916090045,0.00183262011591192,"S000000087","S000000087",NA
"S000000098",450.245246676024,-1.7438646994863,0.404698617610866,-4.30904535770641,1.63960742560957e-05,0.000128375504676141,"S000000098","S000000098","HTB2"
"S000000099",359.482776365649,-1.23789518089003,0.387058210830407,-3.19821449655908,0.00138281383473696,0.00615822640454972,"S000000099","S000000099","HTA2"
"S000000105",149.191595012858,-2.35541233381002,0.282218221096665,-8.34606753829423,7.05734597429857e-17,2.62298025378097e-15,"S000000105","S000000105","ALK2"
"S000000106",66.9940905407967,-1.03360301974552,0.367825972659868,-2.81003272354913,0.00495364630660157,0.0178065100967451,"S000000106","S000000106",NA
"S000000120",411.470157250077,-1.04508831978907,0.28293077591639,-3.69379512145369,0.000220931829020132,0.00127173092020097,"S000000120","S000000120","NCL1"
"S000000127",64.9987754560866,-3.42422779002987,0.468454735514823,-7.30962359952815,2.67891737873987e-13,7.16878290550788e-12,"S000000127","S000000127","SHE1"
"S000000128",255.164152292903,-1.0029727326751,0.23454052277374,-4.27633025122342,1.89999306536787e-05,0.000146477058214852,"S000000128","S000000128","HEK2"
"S000000135",365.264951753711,-2.08095044646401,0.427276385038814,-4.87026786251005,1.11447063415137e-06,1.11280724514518e-05,"S000000135","S000000135","URA7"
"S000000138",347.196982587216,-1.30366509343082,0.315797738032402,-4.12816475999286,3.6567007235048e-05,0.000258415434932188,"S000000138","S000000138","FUI1"
"S000000144",55.1925472434166,1.01302993356542,0.367829911616002,2.7540716553334,0.00588588800585066,0.0206520580904585,"S000000144","S000000144","RRT1"
"S000000145",1323.25960970307,1.34226263637619,0.242628647382293,5.53216881377278,3.16295267410696e-08,4.14003001104304e-07,"S000000145","S000000145","MOH1"
"S000000159",174.465709217514,-1.12789869747098,0.164984786860718,-6.83638000164928,8.12193293928434e-12,1.81119104546041e-10,"S000000159","S000000159","KIP1"
"S000000164",291.702393820365,-1.1977470177682,0.425086126295691,-2.81765727855122,0.00483754155692581,0.0174621329222124,"S000000164","S000000164","PRS4"
"S000000165",474.829590908761,2.7773306054039,0.238119593036348,11.6635954647376,1.95604401835561e-31,2.50581724138705e-29,"S000000165","S000000165","AST1"
"S000000166",14.6887346439607,2.32049209903391,0.439097098097554,5.28469012682559,1.25917714043716e-07,1.47787632798678e-06,"S000000166","S000000166",NA
"S000000171",31711.5224101874,1.98535467979674,0.256101370268659,7.75222201159658,9.02983376114012e-15,2.83169943103253e-13,"S000000171","S000000171","SSA3"
"S000000177",112.837752977946,-1.73491830150752,0.335506168163278,-5.17104740877133,2.32785494055579e-07,2.61492809647134e-06,"S000000177","S000000177",NA
"S000000197",1895.52214811053,2.01977279093625,0.322968244148932,6.25378137797618,4.0063174280329e-10,7.26567386571871e-09,"S000000197","S000000197","ECM21"
"S000000205",1625.83974014285,1.53723381583719,0.259385084691646,5.92645416626263,3.09545729930908e-09,4.89179748008923e-08,"S000000205","S000000205","NTH2"
"S000000210",3183.58598428171,2.43402401986273,0.250378538586878,9.72137641508822,2.44454413475393e-22,1.58264518659714e-20,"S000000210","S000000210","UGA2"
"S000000222",68.0878373082196,1.23472968740477,0.38832150381685,3.17965828641602,0.00147448815797035,0.00650395106164064,"S000000222","S000000222","GAL7"
"S000000233",417.967300792665,-2.71468260122355,0.234360146830668,-11.5833798448035,5.00337138621291e-31,6.27610398258082e-29,"S000000233","S000000233","CDS1"
"S000000234",166.201206143454,-1.7926173406525,0.417093576545409,-4.2978780817003,1.72440962475186e-05,0.000133797298332873,"S000000234","S000000234","RKM3"
"S000000242",265.22009452513,-1.31634347441585,0.223596408369895,-5.88714051362677,3.92934628962352e-09,6.11333178548404e-08,"S000000242","S000000242","CHS2"
"S000000251",373.210822378746,1.63664545800499,0.236960549326486,6.90682673827703,4.9561462874797e-12,1.14772910757366e-10,"S000000251","S000000251","FMP23"
"S000000258",21273.2108649648,2.66487717288143,0.639104712555252,4.16970352514972,3.04996140375147e-05,0.000219925959425001,"S000000258","S000000258","YRO2"
"S000028736",18.0803138732557,-1.76696815271205,0.62389843672578,-2.83214069582399,0.00462374986301727,0.0168827155398587,"S000028736","S000028736",NA
"S000000270",150.180216407322,-2.93080596036323,0.352747802468211,-8.30850239138585,9.69174244252055e-17,3.53660492402523e-15,"S000000270","S000000270","NRG2"
"S000000273",1196.63858498324,-2.71025759922963,0.469037002337647,-5.77834496153161,7.54390140063336e-09,1.11786763573947e-07,"S000000273","S000000273","TAT1"
"S000000276",61753.7250072265,1.05957419594675,0.250005038221419,4.23821137159776,2.25307597423712e-05,0.000168728488070668,"S000000276","S000000276","HSP26"
"S000000282",2864.04966866941,-3.32988637964379,0.314422347401304,-10.5904888986589,3.29864486462201e-26,2.87842619273755e-24,"S000000282","S000000282","ECM33"
"S000000288",457.312742512659,-1.91577143374007,0.381530887028231,-5.02127481384834,5.13296571596912e-07,5.4700153231593e-06,"S000000288","S000000288","MIS1"
"S000000292",528.653428373233,-2.03033035423316,0.240669524256509,-8.4361755419818,3.27890209113299e-17,1.24165216922715e-15,"S000000292","S000000292","POL30"
"S000000293",391.13525296008,-2.03323107245165,0.224478212101262,-9.05758760914606,1.33367410287795e-19,6.58200965035095e-18,"S000000293","S000000293",NA
"S000000296",237.984267884995,-2.34500103624862,0.347084321105838,-6.7562862787269,1.41573557674215e-11,3.04433710984446e-10,"S000000296","S000000296","PHO3"
"S000000297",2475.05250135048,-5.34025598342706,0.232564356053917,-22.9624869177674,1.10564314577278e-116,3.32853869034895e-113,"S000000297","S000000297","PHO5"
"S000000309",908.256502290502,1.74543708368936,0.291687583023914,5.98392658883344,2.1782151802381e-09,3.50669347599294e-08,"S000000309","S000000309","VID24"
"S000000310",1085.42716348009,-1.01793845119359,0.41768971057839,-2.4370685353585,0.0148068727163762,0.0433830562653533,"S000000310","S000000310","PHO88"
"S000000311",165.327660170808,1.1656767885969,0.1697978654302,6.86508505653789,6.6451647504394e-12,1.50983158348663e-10,"S000000311","S000000311","IML3"
"S000000312",1078.07727843979,1.69791871339821,0.345754032618157,4.91077052823086,9.07192024667562e-07,9.11887008434622e-06,"S000000312","S000000312","AIM3"
"S000000318",1252.35314268272,1.29770398162237,0.28216885269125,4.59903341295547,4.24455708177128e-06,3.75830561608012e-05,"S000000318","S000000318","RAD16"
"S000000325",1636.87157103819,-1.07711885190378,0.42734871135248,-2.5204682342317,0.0117198816140134,0.0360208187277635,"S000000325","S000000325","GRS1"
"S000000344",2547.52866993813,1.01073600839557,0.239181861066448,4.22580543478076,2.38087643153973e-05,0.00017697848141112,"S000000344","S000000344","IRA1"
"S000000351",1138.54333072049,1.24645511462102,0.145198081632711,8.58451503356649,9.12204197864014e-18,3.81415380231891e-16,"S000000351","S000000351","RTC2"
"S000000362",594.97354987771,-1.46608525975031,0.280892693677145,-5.21937840588838,1.79524632368416e-07,2.0433228950666e-06,"S000000362","S000000362","AMN1"
"S000000363",986.288500390643,1.12194203905837,0.146048912031665,7.68196095028163,1.56671599801964e-14,4.69313284779913e-13,"S000000363","S000000363","IFA38"
"S000000364",270.792872938275,-1.86774473617643,0.215479233664248,-8.6678642039663,4.40301406397652e-18,1.9072336459858e-16,"S000000364","S000000364","CDC28"
"S000000366",1902.94593894868,-2.7185374403714,0.281904218704758,-9.64347909677278,5.23818960386945e-22,3.25145769122659e-20,"S000000366","S000000366","TOS1"
"S000002158",22.6246235686214,-1.45740083605834,0.379297693964449,-3.84236671946372,0.00012185358715866,0.000749418231136153,"S000002158","S000002158","YSY6"
"S000000373",10226.6023588712,2.70108964075853,0.246299349736672,10.9666941615817,5.5255863050419e-28,5.4540254332225e-26,"S000000373","S000000373","SSE2"
"S000000379",86.7563218125884,-1.02936484788624,0.381348473089065,-2.69927617527351,0.0069490482163042,0.023625194415792,"S000000379","S000000379","SWD3"
"S000000387",912.721735061813,1.69041560946821,0.295035633462187,5.72953032700325,1.00709084043882e-08,1.44718232703631e-07,"S000000387","S000000387","YPC1"
"S000000422",2778.8076121544,1.7236611908575,0.161914795181414,10.6454829463006,1.83032660782892e-26,1.66975704632393e-24,"S000000422","S000000422","PYC2"
"S000000430",92.2961557127823,1.28414669292572,0.313752328875458,4.0928674458874,4.26071310653496e-05,0.00029487073120054,"S000000430","S000000430",NA
"S000000436",11.2243999642543,-2.04618384364494,0.658039406093303,-3.10951566835925,0.00187394345179054,0.00803633441825556,"S000000436","S000000436",NA
"S000000437",102.165302060253,-1.21985670677455,0.34959842047071,-3.48930840457489,0.000484272077111102,0.00252014016965077,"S000000437","S000000437","PBP2"
"S000007595",24.4274059635167,-1.27018638146655,0.512522299032021,-2.47830461984874,0.0132008387825608,0.0395041005515898,"S000007595","S000007595","DAD3"
"S000000443",190.947578284908,1.11662870979148,0.379623572758638,2.9414103599447,0.00326721390101581,0.0127822578934478,"S000000443","S000000443","ERT1"
"S000000444",503.919156384761,2.94624419357764,0.158869974136089,18.5450032934094,8.94952094751022e-77,8.9808442708265e-74,"S000000444","S000000444","THI2"
"S000000456",122.457149580914,-1.45658621757407,0.254685573162187,-5.7191547973803,1.07055232058157e-08,1.52743969720892e-07,"S000000456","S000000456","DUT1"
"S000000460",1786.47973793084,1.34980299175859,0.335488067018113,4.0234009029171,5.73637269769902e-05,0.00038419021148883,"S000000460","S000000460","RIB5"
"S000000469",384.251531704307,-1.11568004117261,0.164115204736851,-6.79815159699272,1.05969917351557e-11,2.31175678396278e-10,"S000000469","S000000469","TSC10"
"S000000489",266.806853722446,1.27490991407978,0.235412004233195,5.41565379485439,6.10651568929843e-08,7.6280769637481e-07,"S000000489","S000000489",NA
"S000000500",3673.36618895526,-6.61137994497863,0.594788470557264,-11.1155146278884,1.05440927235226e-28,1.15429058706054e-26,"S000000500","S000000500","PHO89"
"S000000502",1138.63854168597,1.29437951329597,0.311719536996911,4.15238494759087,3.29028184103871e-05,0.000235282505521308,"S000000502","S000000502","MAL31"
"S000000515",3092.89712671076,1.18963214941792,0.292672001269789,4.06472824273101,4.80884598235303e-05,0.000330148935686974,"S000000515","S000000515","ILV6"
"S000029705",585.934472564383,2.00016765338604,0.118788810379149,16.8380140099217,1.28476523745015e-63,8.59507943854148e-61,"S000029705","S000029705",NA
"S000007548",71.8940987274608,-1.61525265371906,0.273811840461403,-5.89913369340487,3.65415064078092e-09,5.71471195016673e-08,"S000007548","S000007548","HBN1"
"S000000535",3407.81766094245,1.11465617949122,0.239118482381019,4.66152247367936,3.13878785780156e-06,2.8504738600035e-05,"S000000535","S000000535","HIS4"
"S000000541",181.906550055992,-1.53751093652106,0.492838193944012,-3.11970735104132,0.00181030797547756,0.00778561737167883,"S000000541","S000000541","GFD2"
"S000000542",16.0341180698272,-1.48412943741034,0.568115638092412,-2.61237209099484,0.00899163318413094,0.029193153457185,"S000000542","S000000542","SRO9"
"S000000554",369.90946437454,1.24363832827681,0.366705931157656,3.39137772969956,0.000695421847382619,0.00341528135651774,"S000000554","S000000554",NA
"S000000568",77.0267818769898,-1.43170450748457,0.319325410117561,-4.48352828219176,7.34188666774364e-06,6.16534164943995e-05,"S000000568","S000000568","VAC17"
"S000000598",20995.8620395735,-1.31275159429399,0.502643851820147,-2.61169332826875,0.00900950317720176,0.0292274884859546,"S000000598","S000000598","CIT2"
"S000000613",198.570651326403,1.92988466342666,0.208781854110241,9.24354595686096,2.38460736008892e-20,1.27059477124738e-18,"S000000613","S000000613","PET18"
"S000000615",47397.5700564487,3.37865452560277,0.60134619479574,5.61848491741167,1.92639207862921e-08,2.64812938480057e-07,"S000000615","S000000615","HSP30"
"S000000617",958.652439343111,1.7689750407037,0.124589928587758,14.19837912065,9.37559355142514e-46,2.56592948968776e-43,"S000000617","S000000617",NA
"S000007222",355.253588921123,-1.06281783908207,0.177122472276676,-6.00046863292357,1.96748857149463e-09,3.1930589458138e-08,"S000007222","S000007222","RIM1"
"S000000630",388.888836473972,-2.92378207135711,0.344155416360539,-8.4955282769519,1.97034676012018e-17,7.85659459780373e-16,"S000000630","S000000630","ELO2"
"S000000639",50.4766239370491,-1.2703407141811,0.365586189978517,-3.47480498170829,0.000511224863976998,0.00264213296652833,"S000000639","S000000639",NA
"S000000657",897.704924401752,1.55940694452115,0.398046403351264,3.91765113663148,8.94159843600986e-05,0.000569707557494343,"S000000657","S000000657",NA
"S000000663",456.748942048008,-1.2888496853042,0.220717611949781,-5.83936041133611,5.24015998080397e-09,7.92738774985445e-08,"S000000663","S000000663","SED4"
"S000000668",120.670785661772,-1.59517976965823,0.592439424331151,-2.69256181163019,0.00709053908032108,0.0240248372552691,"S000000668","S000000668","RSA4"
"S000000669",427.818387806729,1.01617367528271,0.169202271851777,6.00567394374518,1.90538763872239e-09,3.10063215479663e-08,"S000000669","S000000669","SSK22"
"S000007223",120.802484467958,-1.67891964920541,0.388299512627516,-4.32377480426029,1.53381867844855e-05,0.000120720552456715,"S000007223","S000007223",NA
"S000000683",159.474290437286,-1.68624563456558,0.338536089002415,-4.98099224674847,6.32590746326553e-07,6.5556435174392e-06,"S000000683","S000000683",NA
"S000000695",508.755548051283,-4.28438506788204,0.303387148090778,-14.1218410036278,2.78616343593949e-45,7.29369132512683e-43,"S000000695","S000000695","GIT1"
"S000002161",411.818834849699,-3.06876525258001,0.311341260167596,-9.85659674830146,6.41882022285084e-23,4.44226627146953e-21,"S000002161","S000002161","MCD1"
"S000002172",778.056480380408,-1.28601732767628,0.496026298317137,-2.59263940649788,0.00952425725711576,0.0306333081971656,"S000002172","S000002172","NOP1"
"S000002176",188.348329115401,-1.10302408160186,0.284712672558414,-3.87416573941068,0.000106990582621542,0.000666863662488927,"S000002176","S000002176","ERP3"
"S000002182",351.878765842348,1.57347667476109,0.186485345482398,8.43753524273358,3.240994142417e-17,1.23506491971473e-15,"S000002182","S000002182","DIA3"
"S000002195",95.3811098895637,1.86961061882155,0.334880694898547,5.58291548991187,2.36519691615969e-08,3.22191190773698e-07,"S000002195","S000002195","BSC1"
"S000002197",291.680502861709,1.64458166964065,0.163564650695368,10.0546277123388,8.76521003587326e-24,6.43601580804792e-22,"S000002197","S000002197","PRM7"
"S000002199",25.0441693769093,-1.20839145697421,0.416642776522097,-2.90030578967718,0.00372798776856928,0.0142969518181883,"S000002199","S000002199",NA
"S000002200",324.49494207329,-1.33503801098359,0.20998664431778,-6.3577282037196,2.04759350072838e-10,3.82874548692099e-09,"S000002200","S000002200","SIR2"
"S000002201",155.244622607798,-1.40108568546477,0.262324800759797,-5.34103402120832,9.24179085419681e-08,1.11512670807854e-06,"S000002201","S000002201","PRP11"
"S000002206",5493.4399795167,2.16142583213416,0.342228022986157,6.31574765057036,2.68858458939437e-10,4.96563429838759e-09,"S000002206","S000002206","STP4"
"S000002207",391.802080710258,-1.52439736189283,0.336546033120597,-4.52953596795652,5.91133708581757e-06,5.0773410262065e-05,"S000002207","S000002207","KNH1"
"S000002228",3769.4101544161,1.88007644512722,0.411340485672049,4.57060880369105,4.86309350142297e-06,4.25591365873077e-05,"S000002228","S000002228","BDF2"
"S000002259",252.367675895917,-1.20656346706019,0.181687098045639,-6.64088688761548,3.11801257209939e-11,6.42929921116796e-10,"S000002259","S000002259","DUN1"
"S000002282",7080.83932252243,1.57423160710432,0.404454292890869,3.89223611857938,9.93245069720024e-05,0.000626214075554083,"S000002282","S000002282",NA
"S000002286",2087.84187918781,1.69032939835034,0.315709799025695,5.35406060745289,8.60020325613812e-08,1.04821505678558e-06,"S000002286","S000002286","VCX1"
"S000002287",432.739131121519,2.66803331630203,0.218139046396519,12.2308837430794,2.12612801620698e-34,3.20035419639555e-32,"S000002287","S000002287",NA
"S000002327",2376.70298443185,1.07177669621918,0.226594420516762,4.7299341871478,2.24592632642883e-06,2.09980161668137e-05,"S000002327","S000002327","SFA1"
"S000002329",842.828073607301,1.59004372237982,0.219514364945364,7.24346091325535,4.37377335146117e-13,1.14997770083614e-11,"S000002329","S000002329","UGA3"
"S000002330",3060.18904688324,1.35672498863692,0.194000979967722,6.99339245019616,2.68317569764445e-12,6.33545132373225e-11,"S000002330","S000002330","GLT1"
"S000002341",3400.44930341572,1.79407381947215,0.376821587942089,4.76106963316516,1.92569585189245e-06,1.83749837151259e-05,"S000002341","S000002341","LYS20"
"S000002345",26.137518888861,1.40898608511355,0.381418638428638,3.69406720898137,0.000220695429313121,0.00127158581808067,"S000002345","S000002345",NA
"S000002367",347.996218126393,-1.12278900749764,0.465302073959128,-2.41303245855781,0.0158204106144464,0.0458616717908434,"S000002367","S000002367","NHP2"
"S000002377",4487.48799916968,2.71976466154193,0.462361286896507,5.88233647284295,4.04514931031664e-09,6.24949719255018e-08,"S000002377","S000002377",NA
"S000002378",78.0709728395172,-1.10088891904049,0.331880586098794,-3.31712358345895,0.00090949377130264,0.00430169834800722,"S000002378","S000002378","DTD1"
"S000002382",14837.4560376208,1.05119647806318,0.389134519253956,2.70137041575885,0.00690543836479967,0.0234901945731406,"S000002382","S000002382","HBT1"
"S000002386",736.435607752861,-4.10576584295984,0.346511766901189,-11.8488496932649,2.18164929369748e-32,2.91904675496723e-30,"S000002386","S000002386","HO"
"S000002397",384.664025668464,1.02714922409799,0.3613168233904,2.84279379647972,0.00447199931008793,0.0164382831782902,"S000002397","S000002397","GUD1"
"S000002398",370.365147719609,1.27145458127114,0.286072314581379,4.44452159983295,8.80876582902848e-06,7.28538173854128e-05,"S000002398","S000002398","ADY3"
"S000002399",155.470273985381,-1.23395017486369,0.36252992132206,-3.40371953400085,0.000664749708614021,0.00328879046472064,"S000002399","S000002399","LRG1"
"S000002418",2194.07991633162,1.57931538586373,0.274899540921162,5.74506374427398,9.18863644212109e-09,1.33634734343022e-07,"S000002418","S000002418","SNQ2"
"S000002425",733.54476411349,1.20903792763373,0.451009957389722,2.68073444460339,0.00734607862519747,0.0247237224160503,"S000002425","S000002425",NA
"S000002435",3097.45653246065,1.07475298510948,0.171351974818664,6.27219491486369,3.55993530447308e-10,6.51500622134724e-09,"S000002435","S000002435","REG1"
"S000002442",2492.93751308306,1.75280102457167,0.143355631104866,12.2269422628364,2.23182725525146e-34,3.27751997655342e-32,"S000002442","S000002442","ARO3"
"S000002449",16.7221677199147,-1.55375588629969,0.480417385110034,-3.23417914183897,0.00121992909817995,0.00553101890070896,"S000002449","S000002449",NA
"S000002453",2250.39608485271,1.24032835316352,0.491888240750017,2.52156536873559,0.0116833965444922,0.0359456977998914,"S000002453","S000002453","BAP3"
"S000002494",138.328327678671,-1.66528635818543,0.300904527062765,-5.53426820939146,3.12530426176728e-08,4.09966382573002e-07,"S000002494","S000002494","RRP1"
"S000002508",335.366365838741,-1.48638425277572,0.550177171302109,-2.70164654279981,0.00689970675926953,0.0234839651766884,"S000002508","S000002508","ARX1"
"S000002520",172.3342373712,-1.26921631731067,0.209400351464933,-6.06119478038803,1.3511408734637e-09,2.25352332385732e-08,"S000002520","S000002520","PDS1"
"S000002530",386.299190474154,-1.77545800285416,0.366217779285647,-4.84809341129589,1.24653705199234e-06,1.23039337541736e-05,"S000002530","S000002530","INO2"
"S000002534",3937.60949459291,1.31975730683331,0.301549573318463,4.37658489219458,1.20553251482789e-05,9.71688255927541e-05,"S000002534","S000002534","ARO1"
"S000002540",518.554013434947,-1.02331610975113,0.334472059510248,-3.05949654284882,0.00221709346513769,0.00921537356128423,"S000002540","S000002540",NA
